,,,,,mobilitaet,mobilitaet,infrastruktur,mobilitaet,mobilitaet,mobilitaet,infrastruktur,stadtbild,mobilitaet,stadtbild,wirtschaft,infrastruktur,stadtbild,mobilitaet,mobilitaet,stadtbild,stadtbild,stadtbild,mobilitaet,stadtbild,gesellschaft,politik,gesellschaft,politik,infrastruktur,stadtbild,gesellschaft,gesellschaft,gesellschaft,gesellschaft,kultur,parks,gesellschaft,parks,wirtschaft,umwelt,gesellschaft,gesellschaft,gesellschaft,gesellschaft,politik,wirtschaft,politik,gesellschaft,kultur,gesellschaft,politik,politik,politik,kultur,kultur,politik,parks,raeume,raeume,raeume,raeume,stadtbild,mobilitaet,politik,bildung
158,Die Sauberkeit v.a. in bestimmten Stadtteilen wie beispielsweise der Südstadt sollte erhöht werden. Hande-Haufen-Probleme: Beschränkung der Zahl der Hunde pro Straße. Kontrollen und Sanktionen bei Verstoß gegen Beseitigungspflicht. Keine wilden Müllablagerungen an Straßenecken oder Containern: Sperrmüllabholung vereinfachen.,w,61-70,Stadtgrenze,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"Riesige Autos: Parkplätze verkleinern, Anzahl verringern und verteuern. Car-Sharing ausbauen. E-Scooter eindämmen: bestimmte Parkplätze müssen angesteuert und zum Abstellen verwendet werden, wer seinen Scooter kreuz und quer auf Gehwegen, im Wiesengrund o.ä. hinterlässt, muss Strafe zahlen. Weniger Scooter erlauben.",w,61-70,Stadtgrenze,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"Stadtpark muss erhalten werden, evtl. ein weiterer Park im Stadtwesten angelegt werden.",w,61-70,Stadtgrenze,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Der Wiesengrund/ die Talauen müssen vollständig erhalten bleiben ohne Bebauung.,w,61-70,Stadtgrenze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
158,"Förderung kleiner Handwerksbetriebe: Bäcker, Metzger etc. damit sie nicht aufgeben müssen, wenn sie z. B. in neue Maschinen investieren müssen oder die Miete zu hoch würde. Hilfen für eine Neuansiedelung, Begrenzung von Ketten.",w,61-70,Stadtgrenze,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
158,"Keine Autos auf der Fürther Freiheit, ich erwarte auch nicht, dass ich auf dem Hauptmarkt oder vor der Lorenzkirche in Nürnberg einen Parkplatz finde. FußgängerInnen und FahrradfahrerInnen brauchen unbedingt mehr Platz in der Innenstadt, dann kehrt auch mehr Leben ein und die Geschäfte machen mehr Umsatz. In der Friedrichstraße gäbe es weniger Chaos, wenn die Autos durchfahren und sich nicht beim Parkplatz stauen. Plätze dürfen auch gerne Platz haben und leer sein. Bäume haben Vorrang zwischen Freiheit und Jakobinenstraße. Parkplätze, Gastro und Spielplätze kommen nach den Bäumen und dem Grün (Spielplätze gibt es bei der Adenaueranlage und im Stadtpark Mieten deckeln Taubenhäuser aufstellen",w,61-70,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,x,,,,,,
159,"Verkehrssystem radikal umstellen, um mehr öffentliche Flächen zu begrünen und für alle nutzbar zu machen. Das bedeutet eine autofreie Innenstadt und ein niedrigschwelliges Shuttlesystem mit moderaten Preisen, um ohne Individualverkehr in die Innenstadt zu gelangen.",w,41-50,Eigenes Heim,,,,,,,,,,,,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Die Königs/Nürnberger Straße ist Auto frei.,m,41-50,Innenstadt,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Autoverkehr und Parkplätze reduzieren zugunsten Grün und Spielraum für Kinder v.a. in Innenstadt und Südstadt,w,41-50,Innenstadt,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"BürgerInnen mit Gärten können ein kleines Windrad (wie die Nomaden in der Mongolei) aufstellen, und so auch bei wenig Sonne eigenen Strom produzieren.",w,51-60,Unterfarrnbach,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,
162,Vision: Alle privaten und öffentlichen Gebäude haben Solaranlagen.,w,51-60,Unterfarrnbach,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Straßen haben alle eine Fahrradspur.,w,51-60,Unterfarrnbach,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Parkflächen sind überwiegend abgeschafft, der frei gewordene Raum wird öffentlich genutzt.",w,51-60,Unterfarrnbach,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Die Grünanlagen der Stadt werden unter Anleitung von Fachleuten von den Bürgern genutzt und versorgt, für Gemüse, Obstbäume etc.",w,51-60,Unterfarrnbach,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
162,Ein Angebot an inklusiven Arbeitsplätzen bietet Menschen mit Behinderung die Möglichkeit sich den Lebensunterhalt ganz oder teilweise selbst zu verdienen. Die passive Abhängigkeit vom Staat entfällt nahezu.,w,51-60,Unterfarrnbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
162,"E-Roller raus, sind Sondermüll nach gut 6 bis 7 Monaten. Da ist bisher nichts Nachhaltiges dabei.",w,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
162,Mehr Grün und Solarpaneele auf den Häusern. Dann brauchts auch keine Windräder. Für die Feuerwehr Notausschalter.,w,51-60,Innenstadt,,,x,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Parken in der Innenstadt muss teurer werden. Für Paketdienste eigene Kurzparkplätze. Endlich auch an die vielen Behinderten wie Rollstuhlfahrer denken. Wir haben das Jahr 2021, sind aber nicht viel weiter als vor 10 Jahren.",w,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Die Grundsteuer ändern, eine Bodenrichtwertsteuer wie in anderen Ländern muss her. Nicht umlegbar und je mehr Lehrstand und länger desto teurer muss es werden. Wir haben hier Häuser und Läden, die waren schon zu meiner Kindheit leer gestanden und ich bin jetzt über 50.",w,51-60,Innenstadt,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Besser Takt und es muss nicht jeder Bus die gleiche Strecke fahren.,w,51-60,Innenstadt,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Mehr Begrünung an den Häusern würde auch was gegen die Hitze bringen.,w,51-60,Innenstadt,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"Wunsch: eine Buslinie, die die gesamte Fronmüllerstraße in beide Richtungen durchgängig befährt.",m,51-60,Südstadt,x,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"Idee „Autorenpunkt Fürth“: z.B. ein Billy-Regal weiß (IKEA, ab 29 Euro) mit einem Aufkleber an den Seiten ""Autorenpunkt Fürth"" dort, wo ein ""Autorenpunkt Fürth"" ist: das kann ein Buchladen sein, ein Kino, ein Friseur, ein Café, im Fürth-Shop, ein Bekleidungsgeschäft, eine Autowerkstatt, etc. etc. also überall, wo eine öffentlich zugängliche Einrichtung oder eine Verkaufsfläche / eine Servicefläche besteht. Mitmachen darf jeder Autor (w,m.d), der o bei Lovelybooks als Autor anerkannt ist (auch Selfpublisher oder Eigenverlag) o bei gleichem Verkaufspreis wie bei Amazon bzw. der Buchpreisbindung 30% Gewinn der Buchhandlung / dem Verkäufer ermöglicht und o in Fürth lebt.",m,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
163,"Aktives Herangehen an Eigentümergemeinschaften im Stadtgebiet Fürth, die Sonnenkollektoren zur Unterstützung von Warmwasser und Heizung und/oder Fotovoltaik-Anlagen zur Stromerzeugung sinnvoll einsetzen könnten, um viel mehr CO2 im Stadtgebiet einzusparen. Hintergrund: die Trägheit und Unwissenheit der Eigentümer und Hausverwalter verhindert leider oft rentable Konzepte zur Energieeinsparung im Eigentumswohnungen/Eigentümergemeinschaften.",m,51-60,Südstadt,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"Durchgangsverkehr aus Hirschen-, Theater- und Friedrichstraße herausnehmen",m,70+,Innenstadt,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,x,,,,,,,,,
164,"Busse zwischen Hauptbahnhof und Rathaus in beiden Richtungen durch die Friedrichstraße mit zentraler Haltestelle ""Neue Mitte""",m,70+,Innenstadt,x,,,,x,,,,,,,,,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Fußgängerzone verlängern zum Bahnhofplatz bzw. Kohlenmarkt - Waagplatz,m,70+,Innenstadt,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"Stellplatzangebot in öffentlichen Straßen reduzieren, Rest gebührenpflichtig machen",m,70+,Innenstadt,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Dauerhaftes Kulturzentrum Kofferfabrik,m,70+,Innenstadt,,,,,,,,,,,,,,,,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
165,Tempo 30 überall,m,31-40,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,
165,Autos weitestgehend in Parkhäuser extern und nimmer in der Straße,m,31-40,Südstadt,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Mehr Raum zum Spielen und zum Kreativ sein ohne Lebensgefahr. (bzgl Autoverkehr),m,31-40,Südstadt,,,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"Bessere Parkplätze in der Innenstadt (nicht nur für Stadträte im Rathaushof oder die katholische Kirche im Parkhaus Sozialrathaus...finde es eine Frechheit, dass bestimmt Gruppen bevorteilt werden!)",m,51-60,Stadeln,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,x,,x,
166,Auto-Radfahrer-Fußgängergerecht,m,51-60,Stadeln,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,billigerer ÖPNV,m,51-60,Stadeln,x,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
166,mehr Bäume in der Innenstadt (in Berlin geht das ja komischerweise auch),m,51-60,Stadeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"auch Strafen für Radfahrer, wenn sie z.B. bei rot über die Ampel fahren oder Gehsteige benutzen...wenn ich mit meiner 91jährigen Mutter unterwegs bin, muss man laufend am Gehsteig auf die Seite ""springen"", weil ein Radfahrer meint, ""Vorfahrt"" zu haben.",m,51-60,Stadeln,,,,,,x,,,,,,,,,,x,,,,x,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"Umgang mit Grünflächen und Plätzen. Nicht alles muss dem Nutzen durch die Bevölkerung untergeordnet werden, nicht einmal in der Stadt",w,51-60,Hardhöhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
168,Alles in allem bin ich in Fürth ganz zufrieden.,m,51-60,Westvorstadt,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,
168,"Fürth sollte etwas sauberer werden. Im Bereich Scherbsgraben bzw. Hardhöhe - wo wir wohnen - sind die Gehsteige häufig mit Hundekot verunreinigt. Die Anzahl der Personen, die die Hinterlassenschaften ihrer Haustiere ordnungsgemäß entsorgen, hält sich meines Erachtens sehr in Grenzen. Besonders auffällig ist diese Tatsache im nahe gelegenen Achalaswäldla, wo die Hunde scheinar nur zum ... ausgeführt werden. Personen mit Tüten sehe ich da äußerst selten. Ob es dort einen Tütenspender gibt, weiss ich allerdings nicht.",m,51-60,Westvorstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Mehr bezahlbaren Wohnraum,w,51-60,Südstadt,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,
169,Mehr Mülleimer im öffentlichen Raum,w,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"Ich würde mehr Fahrradstraßen bauen, den Verkehr reduzieren",w,41-50,Südstadt,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Ich würde allgemein die Lebensqualität im öffentlichen Raum erhöhen,w,41-50,Südstadt,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Freiräume für Jugendliche im Innenstadtbereich schaffen,w,41-50,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"gezielt Projekte fördern, die Unterstützung für Menschen in Not anbieten oder sich für den Klimaschutz engagieren.",w,41-50,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,
171,Starke reduzierung des motorisierten Individualverkehr,m,41-50,Innenstadt,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,
171,Einführung einer online Plattform für den Bürgerdialog und Bürgerbeteiligung mit einem für die Verwaltung bindenden Prozess,m,41-50,Innenstadt,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Kein kostenloses Parken in der Stadt. Stattdessen überall Kurzzeit-Haltezonen,m,41-50,Innenstadt,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
171,Radverkehr und Fussverkehr als primäres Verkehrsmittel.,m,41-50,Innenstadt,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Mehr Grün!,m,41-50,Innenstadt,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
171,Einhaltung der selbst gesteckten Klima-Ziele.,m,41-50,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Tempo 30 im Stadtgebiet mit Kontrollen,m,41-50,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,
171,"Aktives Auflockern von Wohngebieten zum Aufbrechen von ""Parallelgesellschaften"".",m,41-50,Innenstadt,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Autos raus,w,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,x,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Mehr Sekundarschulen Mehr Grundschulen Mehr Horte! Schulen renovieren und schulklos putzen,w,51-60,Innenstadt,,,,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Mehr Orte für Jugendliche,w,51-60,Innenstadt,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x
172,bezahlbaren Wohnraum,w,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
172,Braun und Jung raus,w,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Mehr Verkehrsberuhigung,w,31-40,Innenstadt,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
173,weniger Geschäfte die es in Nbg und ER auch schon gibt,w,31-40,Innenstadt,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"mehr grünen Raum, vorallem vor Schulen.",w,31-40,Innenstadt,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
174,Mehr Freifunk unterstützen,m,31-40,Unterfürberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
175,weniger Autos,w,70+,Hardhöhe,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,mehr Raum fürs Fahrrad,w,70+,Hardhöhe,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,attraktiver/bezahlbarer ÖPNV (Busse),w,70+,Hardhöhe,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"mehr Grünflächen in der Stadt, auch mit Gastronomie (Cafés) und Trinkwasser-Zapfsäulen",w,70+,Hardhöhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,mehr kleine Läden/Gastro statt immer größere Discounter und (Ketten)Geschäfte,w,70+,Hardhöhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,
175,mehr Mehrweg bei To-Go (weniger Müll),w,70+,Hardhöhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
175,mehr Bewusstseinsförderung für mehr Achtung vor der Schöpfung (aber wie?),w,70+,Hardhöhe,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
176,Autos raus aus der Stadt;,m,61-70,Poppenreuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
176,kostenloser ÖPNV,m,61-70,Poppenreuth,x,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
177,"Ich würde den öffentlichen Nahverkehr, insbesondere in der Nordstadt, verbessern.",m,61-70,Ronhof,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,mehr Mülleimer überall,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"mehr Hundekot-Beutel-Spender, wir wohnen in der Innenstadt und sind sehr besorgt mit kleinen Kind. Überall Hundekot, der nicht beseitigt wird, noch schlimmer am Wiesengrund findet man immer wieder gefüllte Hundekotbeutel, die im Gestrüpp liegen. Warum? Weil man ewig keine Mülleimer findet. Das gilt für überall. Ich trage meine Abfälle oft auch ewig herum, bis ich einen Mülleimer finde.",w,31-40,Innenstadt,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"großes Problem: die E-Roller. Mag ein tolles Fortbewegungsmittel für den ein oder anderen sein, aber mal davon abgesehen, dass man oft fast über den Haufen gefahren wird, ist es ein großes Problem wo die Teile geparkt werden. Nämlich genau da wo die Leute absteigen, da wird nichts an den Weg geräumt, damit noch andere vorbei kommen. Aber was wirklich schlimm ist, dass ich mit meinem Mann und Sohn einen E-Roller im Fluss finden musste (Foto existiert) - ich könnte heulen bei dem Anblick! Der Akku läuft in unsere Gewässer. Gut das wir uns alle ganz eifrig um die Umwelt kümmern wollen und dann auf diese Dinger steigen, und sie in den Fluss geworden werden. Sehr traurig!",w,31-40,Innenstadt,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Ein großes Problem ist die Parkplatz-Situation in der Innenstadt. Wir wohnen hier. Unser Vorschlag: bei Veranstaltungen wie Wochenmarkt oder Kärwa einen Shuttle Bus damit nicht alle Menschen versuchen Inenstädtisch zu parken.,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"mehr Geschwindigkeitshügel in 30er Zonen. Für Kinder ist es überall gefährlich an den Straßen der Innenstadt, weil viele sehr schnell (über die vorgegeben Geschwindigkeit) fahren",w,31-40,Innenstadt,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Autofreie Städte,w,21-30,Westvorstadt,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
179,regenerative Landwirtschaft und Urban Gardening so viel wie geht,w,21-30,Westvorstadt,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Unterstützung nachhaltiger Unternehmen & Verbot neuer Läden, die nicht nachhaltig sind",w,21-30,Westvorstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
179,"100% nachhaltige und faire Beschaffung,",w,21-30,Westvorstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
179,"Umweltschutz und BNE fest im Unterricht, freie AGs für alle Schüler*Innen",w,21-30,Westvorstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
179,Trinkwasserbrunnen überall,w,21-30,Westvorstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
179,Förderung lebenlanges Lernen durch reduzierte Arbeitszeit,w,21-30,Westvorstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Aufbau von Mehrgenerationenhäuser,w,21-30,Westvorstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x
179,"Klimaneutralität der Stadt bis 2030, um das 1,5 Grad Ziel noch erreichen zu können.",w,21-30,Westvorstadt,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Sauberkeit Innenstadt insb. Fußgängerzone,w,61-70,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,
181,"Die Blechlawine in der Schwabacherstraße gefällt mir schon lange nicht mehr. Die 2 Spuren sind zu eng, die Busse haben es auch schwer. Parken am Seitenstreifen geht schon gar nicht, vor allem wenn man zu Straßenseite hin aussteigen will, da braucht man Geduld. Die Radfahrer rasen auf den Gehsteigen, nehmen wenig Rücksicht.",w,61-70,Südstadt,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Die Radfahrer rasen auf den Gehsteigen, nehmen wenig Rücksicht. Auch in Straßen mit 30 Geschwindigkeitsbegrenzung fahren sie auf den Gehsteigen, obwohl die Straße gefahrlos ist-bei 30. Der Ordnungsdienst sollte da besser kontrollieren.",w,61-70,Südstadt,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
181,"Die Hundebesitzer werden immer mehr, Grünflächen wie der Südstadtpark werden als Hunde-WC genutzt. Auch die St. Paul Kirche wird nach der Grünflächenrenovierung wieder als Hunde-WC genutzt. Hundesteuer sollte erhöht werden und zwar drastisch.",w,61-70,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
181,"In den Spielstraßen müssten Geschwindigkeitskontrollen täglich vorgenommen werden, die Fahrer/innen sind da immer schnell unterwegs, wenn sie ihre Kinder in die Kita bringen, keiner hat Zeit...jede/r hat es eilig....was soll die Hektik ?? Entschleunigung ist hier angesagt... die Kinder haben sonst schlechte Vorbilder...",w,61-70,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"Die Stadt kinder-und bildungsfreundlicher - dadurch automatisch menschenfreundlicher, bunter, grüner und kunstvoller gestalten.",w,51-60,Mannhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,
182,"Plätze des Verweilens in der Innenstadt und im Stadtpark, Oasen der Ruhe und der Kunst, mit diversen Elementen, wie Wasserspiele, Kunstobjekte und Pflanzenvielfalt kreieren.",w,51-60,Mannhof,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x
182,"Innenstadt autofreier, verkehrsberuhigter, viele Spielstraßen, insbesondere in der westlichen Innenstadt -",w,51-60,Mannhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
